site_name,url,bias_rating,factual_reporting_rating
Simple Politics,simplepolitics.co.uk,0,HIGH
Sinclair Broadcast Group,sbgi.net,23,MIXED
Sioux City Journal,siouxcityjournal.com,-4,HIGH
Sky News,news.sky.com,-12,HIGH
Slate,slate.com,-23,HIGH
SmartNews,smartnews.com/en,-4,MIXED
Smirking Chimp,smirkingchimp.com,-22,HIGH
Snopes,snopes.com,-3,HIGH
Socialist Standard,worldsocialism.org/spgb,-24,HIGH
SocialistWorker.org,socialistworker.org,-27,HIGH
SOFREP,sofrep.com,11,HIGH
Sojourners (Soho),sojo.net,-12,HIGH
Sonoran News,sonorannews.com,24,MIXED
SooToday.com,sootoday.com,-13,HIGH
SourceWatch,sourcewatch.org/index.php/SourceWatch,-20,HIGH
South Bend Tribune,southbendtribune.com,-4,HIGH
South China Morning Post,scmp.com,-4,HIGH
South Florida Sun-Sentinel,sun-sentinel.com,8,HIGH
Southern Poverty Law Center,splcenter.org,-11,HIGH
Sparks/CnnTimes,cnntimes.online,-29,MIXED
Special Broadcasting Service (SBS),sbs.com.au,-8,HIGH
Spectrum News – NY1,ny1.com/nyc/all-boroughs,-3,HIGH
Spectrum Report,spectrumreport.com,-1,MIXED
Spiegel Online,spiegel.de/international,-11,HIGH
Spiked Magazine,spiked-online.com,21,MIXED
Splinter,splinternews.com,-27,MIXED
Sputnik News,sputniknews.com,14,MIXED
St. Cloud Times,sctimes.com,-4,HIGH
St. Louis Post-Dispatch,stltoday.com,-10,HIGH
St. Paul Pioneer Press,twincities.com,-8,HIGH
St. Pete for Peace,stpete4peace.org,-19,HIGH
Standpoint Magazine,standpointmag.co.uk,29,MIXED
Star-Ledger,nj.com/starledger,-14,HIGH
Stars and Stripes,stripes.com,0,HIGH
Stat (News),statnews.com,-4,HIGH
Staten Island Advance,silive.com,-11,HIGH
Statesman Journal,statesmanjournal.com,8,HIGH
StepFeed,stepfeed.com,-16,MIXED
Stimson Center,stimson.org,-1,HIGH
Stock News USA,stocknewsusa.com,-4,HIGH
Stocks News Daily,stocksnewsdaily.com,-15,MIXED
StopFake,stopfake.org,-12,HIGH
Strategic Culture Foundation,strategic-culture.org,11,HIGH
StrategyPage,strategypage.com,2,HIGH
Stratfor,stratfor.com,-3,HIGH
Student Daily News,studentnewsdaily.com,11,HIGH
Stuff,stuff.co.nz,-9,HIGH
Sunlight Foundation,sunlightfoundation.com,-1,VERY HIGH
Swarajya,swarajyamag.com,11,HIGH
SWI – Swissinfo.ch,swissinfo.ch,-8,HIGH
Syrian Observatory for Human Rights (SOHR),syriahr.com/en,-14,HIGH
Syriana Analysis,syriana-analysis.com,-19,MIXED
Tablet Magazine,tabletmag.com,-14,HIGH
Taipei Times,taipeitimes.com,-4,HIGH
Taiwan News,taiwannews.com.tw,-4,HIGH
TakePart,takepart.com,-22,HIGH
Talking Points Memo,talkingpointsmemo.com,-21,HIGH
Tallahassee Democrat,tallahassee.com,7,HIGH
Tampa Bay Times,tampabay.com,-11,HIGH
Tampa Tribune,tbo.com,13,HIGH
Task and Purpose,taskandpurpose.com,-4,HIGH
Tasnim News Agency,tasnimnews.com/en,26,MIXED
Tax Foundation,taxfoundation.org,7,VERY HIGH
Tax Justice Network,taxjustice.net,-11,HIGH
Tax Policy Center,taxpolicycenter.org,-8,HIGH
Tea Party News (The Point),westernjournalism.com/thepoint,30,MIXED
Tea Party Patriots,teapartypatriots.org,20,HIGH
Tea Party Tribune,teapartytribune.com,28,HIGH
TechCrunch,techcrunch.com,-14,HIGH
Techdirt,techdirt.com,-14,HIGH
Tehran Times,tehrantimes.com,22,MIXED
TeleSUR,telesurtv.net/english,-19,MIXED
Texas Monthly,texasmonthly.com,-12,HIGH
Texas Standard,texasstandard.org,-2,HIGH
Texas Tribune,texastribune.org,-2,HIGH
Tharawat Magazine,tharawat-magazine.com/#gs.a9CcWpc,8,HIGH
That’s Nonsense,thatsnonsense.com,-1,HIGH
The Advertiser,adelaidenow.com.au,30,MIXED
The Age (Australia),theage.com.au,-12,HIGH
The Algemeiner Journal,algemeiner.com,14,HIGH
The American Cause,theamericancause.org,30,MIXED
The American Conservative,theamericanconservative.com,11,HIGH
The American Independent Institute,americanindependent.com,-23,HIGH
The American Interest,the-american-interest.com,11,HIGH
The American Prospect,prospect.org,-23,HIGH
The Atlantic,theatlantic.com,-12,HIGH
The Auburn Citizen,auburnpub.com,-3,HIGH
The Augusta Chronicle,chronicle.augusta.com,17,HIGH
The Austin Chronicle,austinchronicle.com,-20,HIGH
The Australian Financial Review,afr.com,2,HIGH
The Australian,theaustralian.com.au,12,HIGH
The Automatic Earth,theautomaticearth.com,-9,HIGH
The Baffler,thebaffler.com,-13,HIGH
The Balance,thebalance.com,-4,HIGH
The Bangkok Post,bangkokpost.com,-5,HIGH
The Baxter Bulletin,baxterbulletin.com,-2,HIGH
The Belfer Center for Science and International Affairs,belfercenter.org,1,HIGH
The Blacksphere (Kevin Jackson),theblacksphere.net,28,MIXED
The Blaze,theblaze.com,30,MIXED
The Blue Route,blue-route.org/blog,-28,MIXED
The Budapest Beacon,budapestbeacon.com,-15,HIGH
The Bureau of Investigative Journalism,thebureauinvestigates.com,-4,HIGH
The Burning Spear,theburningspear.com,-23,HIGH
The California Republican,carepublican.com,26,HIGH
The Canadian Press,thecanadianpress.com,-4,HIGH
The Canary (UK),thecanary.co,-23,HIGH
The Center on Budget and Policy Priorities,cbpp.org,-10,HIGH
The Century Foundation,tcf.org,-16,HIGH
The Chicago Reporter,chicagoreporter.com,-16,HIGH
The China Post,chinapost.com.tw,-3,HIGH
The Christian Left,thechristianleft.org,-15,HIGH
The Chronicle Herald,thechronicleherald.ca,11,MIXED
The Chronicle of Higher Education,chronicle.com,-2,HIGH
The Cipher Brief,thecipherbrief.com,1,HIGH
The Citizen Press,thecitizenpress.com,26,MIXED
The Citizen,thecitizen.org.au,-11,HIGH
The Climate Reality Project,climaterealityproject.org,-18,HIGH
The College Fix,thecollegefix.com,28,MIXED
The Conservative Nut,theconservativenut.gop,22,MIXED
The Conservative Woman,conservativewoman.co.uk,30,MIXED
The Conversation,theconversation.com/us,-4,HIGH
The Council of Canadians,canadians.org,-13,HIGH
The Courier Mail,couriermail.com.au,14,HIGH
The Courier-Journal,courier-journal.com,-10,HIGH
The Daily Banter,thedailybanter.com,-23,HIGH
The Daily Buzz,the-daily.buzz,-19,HIGH
The Daily Citizen (Dalton),daltondailycitizen.com,7,HIGH
The Daily Climate,dailyclimate.org,-12,HIGH
The Daily Defender,thedailydefender.com,27,MIXED
The Daily Gazette,dailygazette.com,-4,HIGH
The Daily Liberator,thedailyliberator.com,24,MIXED
The Daily News (Longview),tdn.com,-5,HIGH
The Daily News (Longview),tdn.com,-5,HIGH
The Daily Northwestern,dailynorthwestern.com,-4,HIGH
The Daily Progress,dailyprogress.com,-2,HIGH
The Daily Tarheel,dailytarheel.com,-12,HIGH
The Daily Telegraph (Australia),dailytelegraph.com.au,22,MIXED
The Daily Vox,thedailyvox.co.za,-21,HIGH
The Daily Wire,dailywire.com,29,MIXED
The Day (New London),theday.com,-3,HIGH
The Defcon Warning System,defconwarningsystem.com,1,HIGH
The Democratic Hub,democratichub.com,-28,MIXED
The Des Moines Register,desmoinesregister.com,-4,HIGH
The Diplomat Magazine,thediplomat.com,0,HIGH
The EC Journal,theecjournal.com,8,MIXED
The Economic Times,economictimes.indiatimes.com,-8,HIGH
The Economist,economist.com,1,HIGH
The Elkhart Truth,elkharttruth.com,-2,HIGH
The Epoch Times,theepochtimes.com,13,HIGH
The Establishment,theestablishment.co,-23,HIGH
The European Council on Foreign Relations (ECFR),ecfr.eu,-14,HIGH
The Fake News Codex,fakenewscodex.com,-1,HIGH
The Federalist,thefederalist.com,27,HIGH
The Fifth Column,thefifthcolumnnews.com,-15,MIXED
The Fiscal Times,thefiscaltimes.com,11,HIGH
The Florida Squeeze,thefloridasqueeze.com,-21,MIXED
The Forward,forward.com,-12,HIGH
The Frisky,thefrisky.com,-20,HIGH
The Fucking News,thefingnews.com,-23,HIGH
The Gazette (Cedar Rapids),thegazette.com,11,HIGH
The Globe and Mail,theglobeandmail.com,7,HIGH
The Guardian,theguardian.com/us,-14,HIGH
The Hartford Courant,courant.com,-12,HIGH
The Hayride,thehayride.com,28,HIGH
The Herald (Everett),heraldnet.com,-8,HIGH
The Herald Journal (Utah),news.hjnews.com,0,HIGH
The Herald-Sun (Durham/North Carolina),heraldsun.com,-5,HIGH
The Hill,thehill.com,-8,HIGH
The Hindu Business Line,thehindubusinessline.com,7,HIGH
The Hindu,newsite.thehindu.com,-8,HIGH
The Humanist Magazine,thehumanist.com,-5,HIGH
The Independent Review,independent.org,6,HIGH
The Independent,independent.co.uk/us,-15,HIGH
The Indian Express,indianexpress.com,-3,HIGH
The Intellectualist,theintellectualist.co,-20,HIGH
The Intercept,theintercept.com,-17,HIGH
The Irish Times,irishtimes.com,-8,HIGH
The Irrawaddy,irrawaddy.com,-13,HIGH
The Jack News,thejacknews.com,9,HIGH
The Jakarta Post,thejakartapost.com,-2,HIGH
The Jamestown Foundation,jamestown.org,11,HIGH
The Japan News,the-japan-news.com,8,HIGH
The Jerusalem Post,jpost.com,-3,HIGH
The Jerusalem Report,jpost.com/Jerusalem-Report,-12,HIGH
The Jewish Press,jewishpress.com,9,HIGH
The Jordan Times,jordantimes.com,-4,HIGH
The Journal News,lohud.com,-12,HIGH
The Knife,theknifemedia.com,1,HIGH
The Korea Times,koreatimes.co.kr,-13,MIXED
The Last Refuge (Conservative Treehouse),theconservativetreehouse.com,30,MIXED
The Libertarian Republic,thelibertarianrepublic.com,14,HIGH
The Lily,thelily.com,-18,HIGH
The Local (Norway),thelocal.no,-12,HIGH
The London Economic,thelondoneconomic.com,-28,MIXED
The Manila Times,manilatimes.net/news,10,HIGH
The Marshall Project,themarshallproject.org/#.qjbbuljBK,-3,HIGH
The Mary Sue,themarysue.com,-21,HIGH
The Meme Policeman,memepoliceman.com,2,HIGH
The Middle East in London,soas.ac.uk/lmei/meil,3,HIGH
The Militant,themilitant.com,-19,HIGH
The Millennial Review,themilreview.com,26,HIGH
The Moderate Voice,themoderatevoice.com,-3,HIGH
The Monthly (Australia),themonthly.com.au,-11,HIGH
The Morning Call,mcall.com,-3,HIGH
The Morning Star,morningstaronline.co.uk,-22,HIGH
The Nation Institute,nationinstitute.org,-14,HIGH
The Nation Pakistan,nation.com.pk,13,HIGH
The Nation,thenation.com,-21,HIGH
The National (UAE),thenational.ae,9,HIGH
The National Memo,nationalmemo.com,-22,HIGH
The Nevada Independent,thenevadaindependent.com,-13,HIGH
The New American,thenewamerican.com,23,MIXED
The New Arab,alaraby.co.uk/english,-14,HIGH
The New Atlantis,thenewatlantis.com,9,HIGH
The New Civil Rights Movement,thenewcivilrightsmovement.com,-26,MIXED
The New Tropic,thenewtropic.com,-14,HIGH
The Newly Press,newlypress.com,30,MIXED
The News (Mexico City),thenews.mx,-3,HIGH
The News International,thenews.com.pk,-4,HIGH
The News Lens,international.thenewslens.com,7,HIGH
The News Literacy Project,thenewsliteracyproject.org,-1,HIGH
The News Tribune,thenewstribune.com,-10,HIGH
The News-Times (Danbury),newstimes.com,-10,HIGH
The Next Web,thenextweb.com,-9,HIGH
The Objective Standard,theobjectivestandard.com,15,HIGH
The Observatory,observatory.journalism.wisc.edu,-3,HIGH
The Observer (UK),theguardian.com/observer,-13,HIGH
The Odyssey Online,theodysseyonline.com,-16,MIXED
The Oklahoman,oklahoman.com/live,11,HIGH
The Olympian,theolympian.com,-11,HIGH
The Oslo Times,theoslotimes.com,-12,HIGH
The Oslo Times,theoslotimes.com,-12,HIGH
The Other 98%,other98.com,-25,MIXED
The Outline,theoutline.com,-19,HIGH
The Outlook (Monmouth University),outlook.monmouth.edu,-4,HIGH
The Pantagraph,pantagraph.com,-3,HIGH
The Patriot Post,patriotpost.us,26,MIXED
The Patriot-News,pennlive.com,-7,HIGH
The Phnom Penh Post,phnompenhpost.com,-2,HIGH
The Plain Dealer,cleveland.com/plaindealer,-12,HIGH
The Post and Courier,postandcourier.com,2,HIGH
The Post and Email,thepostemail.com,30,MIXED
The Post Millennial,thepostmillennial.com,23,HIGH
The Post Star,poststar.com,1,HIGH
The Press Democrat,pressdemocrat.com,-9,HIGH
The Press-Enterprise,pe.com,11,HIGH
The Progressive Frontier,progressivefrontier.com,-29,MIXED
The Progressive,progressive.org,-23,HIGH
The Providence Journal,providencejournal.com,-12,HIGH
The Pulse,pulsegulfcoast.com,-15,HIGH
The Quint,thequint.com,11,MIXED
The RANTidote,therantidote.com,24,MIXED
The Real Strategy,therealstrategy.com,29,MIXED
The Reality-Based Community,samefacts.com,-21,HIGH
The Rebel,therebel.media,29,MIXED
The Record (New Jersey),northjersey.com,-10,HIGH
The Resurgent,theresurgent.com,27,MIXED
The Right Scoop,therightscoop.com,27,MIXED
The Ringer,theringer.com,-12,HIGH
The Ron Paul Institute,ronpaulinstitute.org,21,MIXED
The Root,theroot.com,-22,HIGH
The Santa Fe New Mexican,santafenewmexican.com,-8,HIGH
The Saturday Paper,thesaturdaypaper.com.au,-14,HIGH
The Scotsman,scotsman.com,-3,HIGH
The Sentinel (Pennsylvania),cumberlink.com,-3,HIGH
The Skimm,theskimm.com,-4,HIGH
The Smoking Gun,thesmokinggun.com,7,HIGH
The Sociable,sociable.co,-3,HIGH
The Source Newspaper (La Source),thelasource.com/en,-24,HIGH
The Southern Illinoisan,thesouthern.com,2,HIGH
The Spectator (UK),spectator.co.uk,17,HIGH
The Spokesman-Review,spokesman.com,6,HIGH
The Star Democrat,stardem.com,-4,HIGH
The State,thestate.com,-12,HIGH
The Stern Facts,thesternfacts.com,-27,MIXED
The Straits Times,straitstimes.com/global,10,HIGH
The Stranger,thestranger.com,-17,HIGH
The Strategy Bridge,thestrategybridge.org,2,HIGH
The Sun Magazine,thesunmagazine.org,-15,HIGH
The Sun Magazine,thesunmagazine.org,-15,HIGH
The Sun,thesun.co.uk,26,MIXED
The Swedish Wire,swedishwire.com,-4,HIGH
The Sydney Morning Herald,smh.com.au,-13,HIGH
The Tab,thetab.com,-12,HIGH
The Tennessean,tennessean.com,11,HIGH
The Tennessee Star,tennesseestar.com,27,HIGH
The Texas Observer,texasobserver.org,-20,HIGH
The Times (Illinois),mywebtimes.com,0,HIGH
The Times and Democrat,thetandd.com,-5,HIGH
The Times Herald (Port Huron),thetimesherald.com,9,HIGH
The Times of London,thetimes.co.uk,11,HIGH
The Times-Picayune,nola.com/#/0,-14,HIGH
The Trace,thetrace.org,-11,HIGH
The Truth About Guns,thetruthaboutguns.com,22,HIGH
The TruthSetter,truthsetter.com,1,HIGH
The Tyee,thetyee.ca,-15,HIGH
The Varsity,thevarsity.ca,-9,HIGH
The Verge,theverge.com,-13,HIGH
The Village Voice,villagevoice.com,-19,HIGH
The Virginian-Pilot,pilotonline.com,-7,HIGH
The Walrus,thewalrus.ca,-22,HIGH
The Waterloo-Cedar Falls Courier,wcfcourier.com,-3,HIGH
The Week,theweek.com,-13,HIGH
The West Australian,thewest.com.au,12,HIGH
The Whim,thewhim.com,-2,HIGH
The Wilderness Society,wilderness.org,-11,HIGH
The Wire – India,thewire.in,-8,HIGH
The World Can’t Wait,worldcantwait.net,-24,HIGH
The Young Turks,tytnetwork.com,-22,HIGH
The Zero Hour,thisisthezerohour.com,-15,HIGH
TheGrio,thegrio.com,-21,HIGH
TheImproper Magazine,theimproper.com,-25,HIGH
TheJournal.ie,thejournal.ie,-4,HIGH
TheosWatch.com,theoswatch.com,-29,MIXED
TheWrap,thewrap.com,-2,MIXED
Think Progress,thinkprogress.org,-26,MIXED
Third Way,thirdway.org,-4,HIGH
This Magazine,this.org,-22,HIGH
Thomson Reuters Foundation,news.trust.org,-8,HIGH
ThoughtCo,thoughtco.com,-1,VERY HIGH
Time Magazine,time.com,-17,HIGH
Timeline,timeline.com,-7,HIGH
Times Headline,timesheadline.com,-11,MIXED
Times News (Pennsylvania),tnonline.com,7,HIGH
Times of India,timesofindia.indiatimes.com,-2,HIGH
Times of Israel,timesofisrael.com,-10,HIGH
Times of San Diego,timesofsandiego.com,-4,HIGH
Times of South Africa (Times Live),timeslive.co.za,15,MIXED
Times-Colonist,timescolonist.com,-13,HIGH
Times-News (Idaho),magicvalley.com,-3,HIGH
To Inform is to Influence,toinformistoinfluence.com,-12,HIGH
Today I Found Out,todayifoundout.com,-1,HIGH
Toledo Blade,toledoblade.com,6,HIGH
TomDispatch.com,tomdispatch.com,-13,HIGH
Topeka Capital-Journal,cjonline.com,7,HIGH
Toronto Star,thestar.com,-17,HIGH
Toronto Sun,torontosun.com,22,HIGH
Towleroad,towleroad.com,-28,MIXED
Townhall,townhall.com,24,MIXED
Transparency International,transparency.org,-1,VERY HIGH
Transpartisan Review,transpartisanreview.com,-3,HIGH
Tribune Magazine UK,tribunemagazine.org,-22,HIGH
Tribune News Service,tribunecontentagency.com/tribune-news-service,-3,HIGH
Tribunist,tribunist.com,29,MIXED
TRT World,trtworld.com,23,MIXED
True Viral News,trueviralnews.com,1,HIGH
Truth Against the Machine,truthagainstthemachine.com,-27,HIGH
Truth Be Told,truthbetold.news,-3,HIGH
Truth Out,truth-out.org,-29,MIXED
Truthdig,truthdig.com,-23,HIGH
TruthOrFiction.com,truthorfiction.com,-1,VERY HIGH
Tulsa World,tulsaworld.com,11,HIGH
Turkey and Facts (Dogruluk Payi),turkeyandfacts.com,-1,VERY HIGH
Turning Point USA,turningpoint.news,29,MIXED
TVW Washington State,tvw.org,-1,HIGH
Twitchy,twitchy.com,30,MIXED
UAWire,uawire.org,-13,MIXED
UN Watch,unwatch.org,26,MIXED
Unbiased America,unbiasedamerica.com,24,MIXED
Undark,undark.org,-3,HIGH
Unicorn Riot,unicornriot.ninja,-16,HIGH
United Federation of Teachers (UFT),uft.org,-13,HIGH
United Press International (UPI),upi.com,3,HIGH
United States House of Representatives (House.gov),house.gov,-1,VERY HIGH
Unity News Network,unitynewsnetwork.co.uk,28,MIXED
University Business,universitybusiness.com,-8,HIGH
Uproxx,uproxx.com,-19,HIGH
Upworthy,upworthy.com,-18,HIGH
Urban Institute,urban.org,-14,HIGH
US Government Accountability Office (GAO),gao.gov,-1,HIGH
US News World Report,usnews.com,-8,HIGH
US Political Post,theuspoliticalpost.com,-28,MIXED
US Politics Info,uspoliticsinfo.com,30,MIXED
US Uncut,usuncut.com,-33,MIXED
USA Facts,usafacts.org,-1,VERY HIGH
USA Politics Today,usapoliticstoday.com,28,MIXED
USA Spending,usaspending.gov,-1,VERY HIGH
USA Today,usatoday.com,-9,HIGH
USSA News,ussanews.com,29,MIXED
Utah Public Radio (UPR),upr.org,-7,HIGH
Utah Standard-Examiner,standard.net,1,HIGH
ValueWalk,valuewalk.com,11,HIGH
Vancouver Sun,vancouversun.com,-11,HIGH
Vanity Fair,vanityfair.com,-21,HIGH
Vera Files,verafiles.org,-3,VERY HIGH
Verified Politics,verifiedpolitics.com,-26,HIGH
Vermont Independent,vermontindependent.org,-23,MIXED
Verrit,verrit.com,-22,HIGH
Vessel News,vesselnews.io,29,MIXED
Vice News,vice.com,-16,MIXED
Viral Thread,viralthread.com,-4,MIXED
Viral Title,viraltitle.com,-27,MIXED
VivaLiberty,vivaliberty.com,28,MIXED
Vocativ,vocativ.com,-4,HIGH
Voice of America,voanews.com,-3,HIGH
Voice of San Diego,voiceofsandiego.org,-5,HIGH
Vos Iz Neias,vosizneias.com,-3,HIGH
Vote Smart,votesmart.org,-1,HIGH
Vote,vote.us.org,-21,MIXED
VoteVets.org,votevets.org,-13,HIGH
Vox,vox.com,-23,HIGH
Vulture,vulture.com,-14,HIGH
Wall Street Journal,wsj.com,11,HIGH
Wall Street on Parade,wallstreetonparade.com,-15,HIGH
War on the Rocks,warontherocks.com,-5,HIGH
Washington Babylon,washingtonbabylon.com,15,HIGH
Washington Blade,washingtonblade.com,-15,HIGH
Washington Examiner,washingtonexaminer.com,21,HIGH
Washington Free Beacon,freebeacon.com,28,MIXED
Washington Journal (Not C-Span),washingtonjournal.com,-27,HIGH
Washington Journal,c-span.org/WJ,-3,HIGH
Washington Monthly,washingtonmonthly.com,-18,HIGH
Washington Post,washingtonpost.com,-15,HIGH
Washington Press,washingtonpress.com,-29,MIXED
Washington Sources,washingtonsources.org,-27,MIXED
Washington Times,washingtontimes.com,17,HIGH
Watchdog.org,watchdog.org,15,MIXED
Waterbury Republican-American,rep-am.com,12,HIGH
We Are The Mighty,wearethemighty.com,3,HIGH
Wear Your Voice,wearyourvoicemag.com,-22,HIGH
Weasel Zippers,weaselzippers.us,30,MIXED
Weekly Standard,weeklystandard.com,23,HIGH
Western Free Press,westernfreepress.com,30,MIXED
Western Journal,westernjournal.com,29,MIXED
WestMonster,westmonster.com,12,HIGH
WGN News,wgntv.com,-8,HIGH
What Matters News,whatmattersnews.com,-26,HIGH
Whatfinger,whatfinger.com,26,MIXED
Who.What.Why,whowhatwhy.org,-21,MIXED
Wichita Eagle,kansas.com,6,HIGH
WikiLeaks,wikileaks.org,13,MIXED
WikiNews,en.wikinews.org/wiki/Main_Page,-2,HIGH
Wikipedia,wikipedia.org,-1,HIGH
WikiTribune,wikitribune.com,-2,HIGH
Williamsport Sun-Gazette,sungazette.com,10,HIGH
Windsor Star,windsorstar.com,-11,HIGH
Wings Over Scotland,wingsoverscotland.com,-16,HIGH
Winona Daily News,winonadailynews.com,-3,HIGH
Winston-Salem Journal,journalnow.com,10,HIGH
WION (World is One News),wionews.com,-3,MIXED
Wired Magazine,wired.com,-13,HIGH
Wisconsin State Journal,host.madison.com/wsj,-2,HIGH
WNYC,wnyc.org,-11,HIGH
Wonkette,wonkette.com,-26,MIXED
Woodrow Wilson International Center for Scholars,wilsoncenter.org,-3,VERY HIGH
Workers World,workers.org,-27,MIXED
World Affairs Journal,worldaffairsjournal.org,-8,HIGH
World Economic Forum,weforum.org,-4,HIGH
World Magazine,world.wng.org,24,MIXED
World Net Daily (WND),wnd.com,29,MIXED
World News,wn.com,1,HIGH
World Policy Institute,worldpolicy.org,-14,HIGH
World Politics Review,worldpoliticsreview.com,5,HIGH
World Press Review,worldpress.org,-2,VERY HIGH
World Resources Institute (WRI),wri.org,-3,VERY HIGH
World Socialist Web Site,wsws.org,-24,HIGH
World Tribune,worldtribune.com,22,HIGH
WorldCrunch,worldcrunch.com,-11,HIGH
WRAL,wral.com,-3,HIGH
Xinhua News Agency,xinhuanet.com/english/home.htm,-13,MIXED
Yahoo News,yahoo.com/news/?ref=gs,-14,MIXED
YellowHammer News,yellowhammernews.com,20,HIGH
Yes Magazine,yesmagazine.org,-22,HIGH
YnetNews,ynetnews.com,-14,HIGH
York Daily Record,ydr.com,-7,HIGH
Young America’s Foundation (YAF),yaf.org,23,HIGH
Young Conservatives,youngcons.com,30,MIXED
Your Black World,yourblackworld.net,-22,MIXED
Youth Radio,youthradio.org,-10,HIGH
Z Magazine,zcomm.org/zmag,-22,HIGH
ZDF (Zweites Deutsches Fernsehen),zdf.de,-5,HIGH
