site_name,url,bias_rating,factual_reporting_rating
Carnegie Endowment for International Peace,carnegieendowment.org,-5,VERY HIGH
Carolina Public Press,carolinapublicpress.org,-12,HIGH
Casper Star-Tribune,trib.com,1,HIGH
Castanet,castanet.net,-4,HIGH
Cato Institute,cato.org,17,HIGH
CBC News (Canadian Broadcasting),cbc.ca/news,-12,HIGH
CBS News,cbsnews.com,-12,HIGH
CCTV America,cctv-america.com,-10,HIGH
Center for a New American Security,cnas.org,-4,HIGH
Center for a Stateless Society,c4ss.org,15,HIGH
Center for Advanced Defense Studies,c4ads.org,1,VERY HIGH
Center for American Progress,americanprogress.org,-23,HIGH
Center for Democracy and Technology,cdt.org,-2,HIGH
Center for Global Development,cgdev.org,-4,VERY HIGH
Center for Inquiry,centerforinquiry.net,-1,VERY HIGH
Center for International Policy,ciponline.org,-11,VERY HIGH
Center for Media and Democracy (PR Watch),prwatch.org/cmd,-21,HIGH
Center for Popular Democracy,populardemocracy.org,-16,HIGH
Center for Public Integrity,publicintegrity.org,-3,VERY HIGH
Center for Responsive Politics (Open Secrets),opensecrets.org,-1,VERY HIGH
Center for Strategic and International Studies,csis.org,-4,VERY HIGH
Center for the National Interest,cftni.org,10,HIGH
Certified Politics,certifiedpolitics.com,-28,MIXED
Change.org,change.org,-21,HIGH
Charleston Gazette-Mail,wvgazettemail.com,-10,HIGH
Charlotte Observer,charlotteobserver.com,-13,HIGH
Check Your Fact,checkyourfact.com,9,HIGH
Chicago Reader,chicagoreader.com,-22,HIGH
Chicago Sun Times,chicago.suntimes.com,-12,HIGH
Chicago Tribune,chicagotribune.com,9,HIGH
Chicks on the Right,chicksontheright.com,24,MIXED
China Daily,chinadaily.com.cn,-4,HIGH
China Global Television Network (CGTN),news.cgtn.com,-2,HIGH
Chinook Observer,chinookobserver.com,-4,HIGH
Christian News Alerts,christiannewsalerts.com,30,MIXED
Christian Post,christianpost.com,24,MIXED
Christian Science Monitor,csmonitor.com,-4,HIGH
Christianity Today,christianitytoday.com,7,HIGH
Chronicles Magazine (Rockford),chroniclesmagazine.org,28,MIXED
Chronicles of Democracy,chroniclesofdemocracy.com,-22,HIGH
Church Militant,churchmilitant.com,30,MIXED
Cincinnati Enquirer,cincinnati.com,10,HIGH
Circa News,circa.com,7,HIGH
Citizen Critics,citizencritics.org,-18,HIGH
Citizen Free Press,citizenfreepress.com,27,MIXED
Citizen Truth,citizentruth.org,-13,HIGH
Citizens for Legitimate Government (CLG News),legitgov.org,-16,MIXED
Citizens for Responsibility and Ethics in Washington (CREW),citizensforethics.org,-15,HIGH
Citizens for Tax Justice,ctj.org,-13,HIGH
Citizens United,citizensunited.org/index.aspx,23,MIXED
City and State New York,cityandstateny.com,-3,HIGH
City Journal,city-journal.org,24,HIGH
Civitas Institute,nccivitas.org,29,MIXED
Clean Technica,cleantechnica.com,-9,VERY HIGH
Clear Politics,clear-politics.com,30,MIXED
CNBC,cnbc.com,-13,HIGH
CNN,cnn.com,-20,MIXED
Code Pink,codepink.org,-29,MIXED
Cold Dead Hands,colddeadhands.us,27,MIXED
Colombia Reports,colombiareports.com,-12,MIXED
Colorado Springs Gazette,gazette.com,12,HIGH
Columbia Daily Herald,columbiadailyherald.com,9,HIGH
Columbia Journalism Review,cjr.org,-11,HIGH
Columbus Dispatch,dispatch.com,10,HIGH
Commentary Magazine,commentarymagazine.com,24,HIGH
Committee for a Responsible Federal Budget,crfb.org,1,VERY HIGH
Committee for Economic Development,ced.org,3,HIGH
Committee to Investigate Russia,investigaterussia.org,-9,HIGH
Committee to Protect Journalists,cpj.org,-2,VERY HIGH
Common Cause,commoncause.org,-12,HIGH
Common Dreams,commondreams.org,-24,HIGH
Commonweal Magazine,commonwealmagazine.org,-10,HIGH
Commonwealth Fund,commonwealthfund.org,-11,HIGH
Communities Digital News,commdiginews.com,12,HIGH
Competitive Enterprise Institute,cei.org,17,HIGH
Concord Monitor,concordmonitor.com,-4,HIGH
Conflict News,conflict-news.com,3,HIGH
Congress.gov,congress.gov,-1,VERY HIGH
Congressional Budget Office (CBO),cbo.gov,-1,VERY HIGH
Conservative Base,conservativebase.com,30,MIXED
Conservative Daily News,conservativedailynews.com,29,MIXED
Conservative HQ,conservativehq.com,29,MIXED
